t,vx,vxintra,vxinter,vy,vyintra,vyinter,cbocc
-4.967996799679968,2.633292520655482e-6,4.381642198399041e-15,2.63329251627384e-6,1.5723253208221449e-7,0.0,1.5723253897940358e-7,5.187884732838134e-14
-4.966996699669966,2.75722311723159e-6,4.678910718431408e-15,2.7572231125526793e-6,1.703853478388849e-7,5.759442481254256e-15,1.7038535998725735e-7,5.879675066190584e-14
-4.965996599659967,2.881304422781001e-6,1.1353940244306236e-14,2.8813044114270603e-6,1.8410169624513364e-7,-1.1518884962508511e-14,1.8410168091795043e-7,6.638885270148408e-14
-4.964996499649965,3.0054567151797294e-6,1.6749814314146034e-14,3.005456698429915e-6,1.9837957301497723e-7,-1.1518884962508511e-14,1.9837960029913086e-7,7.469827318787986e-14
-4.963996399639964,3.1296185441444526e-6,3.4423779133980447e-14,3.129618509720673e-6,2.1321716968347655e-7,0.0,2.132171831444945e-7,8.376958714754106e-14
-4.962996299629962,3.253745848699488e-6,3.165377700054959e-14,3.2537458170457105e-6,2.286125568374004e-7,1.1518884962508511e-14,2.2861256439577923e-7,9.364884560295746e-14
-4.961996199619962,3.3778110644652426e-6,-5.86345374148767e-16,3.377811065051589e-6,2.4456404120065926e-7,-5.759442481254256e-15,2.4456404249780593e-7,1.0438359760534855e-13
-4.960996099609961,3.5018021091507363e-6,2.6248894788740098e-14,3.5018020829018413e-6,2.6107016563430534e-7,-1.1518884962508511e-14,2.6107016237890844e-7,1.1602291348486018e-13
-4.959995999599959,3.6257208636899717e-6,-2.892144035513417e-14,3.625720892611412e-6,2.7812977249040003e-7,-5.759442481254256e-15,2.781297872829645e-7,1.286174092137691e-13
-4.958995899589959,3.7495824366241924e-6,-6.944430236930925e-16,3.7495824373186354e-6,2.957421303197481e-7,-2.879721240627128e-14,2.9574215905655705e-7,1.4221927177671135e-13
-4.957995799579958,3.873413231061048e-6,-2.146270291130906e-14,3.87341325252375e-6,3.13906945390783e-7,-5.759442481254256e-15,3.139069467413393e-7,1.5688228540339827e-13
-4.956995699569957,3.997250123553643e-6,2.1370988588182214e-14,3.997250102182654e-6,3.326242810573721e-7,-1.7278327443762767e-14,3.3262428354629003e-7,1.726618585250559e-13
-4.955995599559955,4.121138622996753e-6,2.2515021986948137e-14,4.121138600481732e-6,3.518947766176308e-7,1.1518884962508511e-14,3.5189479240469755e-7,1.896150513490432e-13
-4.954995499549955,4.245131846016892e-6,5.678813905767433e-15,4.245131840338078e-6,3.717195839600554e-7,-1.7278327443762767e-14,3.7171960047367313e-7,2.0780060390591563e-13
-4.953995399539954,4.3692890340916655e-6,-1.438230722647155e-14,4.369289048473973e-6,3.921003330068679e-7,-5.759442481254256e-15,3.9210034317550893e-7,2.272789644263496e-13
-4.952995299529952,4.493674299158767e-6,1.6227342344835793e-14,4.493674282931424e-6,4.1303914323290157e-7,-1.7278327443762767e-14,4.1303915849434215e-7,2.4811231794063867e-13
-4.951995199519953,4.618355166514669e-6,-2.1363613416708528e-14,4.6183551878782816e-6,4.345386467033703e-7,-2.3037769925017022e-14,4.3453867235385063e-7,2.703646149768615e-13
-4.950995099509951,4.74340182933802e-6,1.0259451568557615e-14,4.7434018190785675e-6,4.5660195927665654e-7,-2.879721240627128e-14,4.5660197600332113e-7,2.941016002409678e-13
-4.94999499949995,4.868885545434781e-6,-5.639910263452136e-15,4.86888555107469e-6,4.792325596560188e-7,-2.879721240627128e-14,4.792325964292912e-7,3.19390841176582e-13
-4.948994899489949,4.9948780996528274e-6,2.5375105473255857e-14,4.994878074277722e-6,5.024344391350967e-7,-5.759442481254256e-15,5.024344608412739e-7,3.4630175631478596e-13
-4.9479947994799485,5.121450492069999e-6,3.5528935544426605e-15,5.121450488517106e-6,5.262118597013263e-7,-5.759442481254256e-15,5.262118563858902e-7,3.7490564332357267e-13
-4.946994699469947,5.248672503280437e-6,5.566212174545445e-15,5.248672497714223e-6,5.505693655548253e-7,-1.1518884962508511e-14,5.505693862084202e-7,4.052757066910732e-13
