t,vx,vxintra,vxinter,vy,vyintra,vyinter,fx,fy,ax,ay,cbocc
-5.0,-2.8700740964036115e-14,-2.8700740964036115e-14,0.0,-1.7278327443762767e-14,-1.7278327443762767e-14,0.0,-5.241507371327101e-19,-0.0,2.173243687194152e-5,0.0,0.0
-4.9989998999899985,3.326877384823428e-9,-2.225826279986262e-15,3.3268796106497083e-9,5.799758578623036e-12,-2.3037769925017022e-14,5.8108308617992535e-12,1.4218463346722371e-6,0.0,2.1731727058792185e-5,0.0,4.3784740300568856e-20
-4.997999799979999,1.3334584393974838e-8,-3.417318420010106e-14,1.3334618567159038e-8,4.655357357597815e-11,-1.7278327443762767e-14,4.655780138808168e-11,2.8578874548557466e-6,0.0,2.1729588162800535e-5,0.0,7.050191517096807e-19
-4.996999699969997,3.003880402206239e-8,-1.5044405251023028e-14,3.003881906646764e-8,1.572673363931287e-10,-2.3037769925017022e-14,1.57277055292554e-10,4.3081686282627266e-6,0.0,2.1726005965083033e-5,0.0,3.591209018849009e-18
-4.995999599959996,5.3421877977146185e-8,-2.306899513398284e-15,5.3421880284045685e-8,3.7292966010369434e-10,-5.759442481254256e-15,3.729213677898761e-10,5.7727346121635904e-6,0.0,2.1720966201738618e-5,0.0,1.1417931056141008e-17
-4.994999499949994,8.34335396921909e-8,1.7168692710639654e-14,8.34335225234982e-8,7.281490345775318e-10,-1.7278327443762767e-14,7.281512817242497e-10,7.2516296454747594e-6,0.0,2.1714454564362943e-5,0.0,2.8037349905157014e-17
-4.9939993999399945,1.199916140898794e-7,-2.6637877588527562e-14,1.1999164072775697e-7,1.2571192698258476e-9,-1.1518884962508511e-14,1.2571315910084043e-9,8.7448974407926e-6,0.0,2.1706456700571e-5,0.0,5.846419088951476e-17
-4.992999299929993,1.6298347812096405e-7,2.8547629949697718e-15,1.6298347526620104e-7,1.993325764434654e-9,-1.1518884962508511e-14,1.9933355067930387e-9,1.0252581176403704e-5,0.0,2.169695821452698e-5,0.0,1.0889916424737884e-16
-4.9919991999199915,2.1226705264997069e-7,-2.986279064007598e-14,2.1226708251276128e-7,2.9693381656354443e-9,-5.759442481254256e-15,2.9693587290550732e-9,1.1774723488226508e-5,0.0,2.1685944667483313e-5,0.0,1.8674986152842392e-16
-4.990999099909991,2.6767309473366395e-7,1.0169370249689663e-14,2.6767308456429365e-7,4.216729737110454e-9,-2.879721240627128e-14,4.216745509837285e-9,1.3311366461745545e-5,0.0,2.167340157832676e-5,0.0,3.0064918941288003e-16
-4.98999899989999,3.290066594823768e-7,-1.3994957290669796e-14,3.290066734773341e-7,5.765812424638523e-9,0.0,5.765828596970496e-9,1.4862551623893527e-5,0.0,2.165931442413296e-5,0.0,4.604714221565976e-16
-4.988998899889989,3.960498180241511e-7,-2.3367923854125858e-14,3.9604984139207494e-7,7.645561983342843e-9,-3.4556654887525534e-14,7.645584689325513e-9,1.6428319934888694e-5,0.0,2.164366864072924e-5,0.0,6.773459957519503e-16
-4.987998799879987,4.6856380631616066e-7,-7.800202920449922e-16,4.685638070961808e-7,9.883473991628921e-9,-2.3037769925017022e-14,9.883506874016642e-9,1.800871178004095e-5,0.0,2.1626449623265248e-5,0.0,9.636691884351797e-16
-4.986998699869987,5.462916279097702e-7,2.1258386912141342e-14,5.462916066513833e-7,1.2505488978432328e-8,-2.3037769925017022e-14,1.250549525553072e-8,1.9603766961519202e-5,0.0,2.1607642726792386e-5,0.0,1.3331138493096753e-15
-4.985998599859986,6.289608332214721e-7,2.0425134237805783e-14,6.289608127963378e-7,1.553575052663448e-8,-1.7278327443762767e-14,1.553576669699984e-8,2.1213524690080397e-5,0.0,2.1587233266850868e-5,0.0,1.800637371740809e-15
-4.9849984998499846,7.162863295733083e-7,-1.7728830085466124e-14,7.162863473021382e-7,1.899678381577956e-8,-1.7278327443762767e-14,1.8996784332646635e-8,2.2838023576762484e-5,0.0,2.1565206520065397e-5,0.0,2.382488121038472e-15
-4.983998399839984,8.07973354003186e-7,3.593430225980125e-15,8.079733504097557e-7,2.2909201890507983e-8,-1.1518884962508511e-14,2.290920720397027e-8,2.4477301624524436e-5,0.0,2.1541547724749225e-5,0.0,3.09621053779356e-15
-4.982998299829983,9.037200512230124e-7,-1.985475042206691e-14,9.037200710777628e-7,2.7291832368290968e-8,-2.3037769925017022e-14,2.7291860108301856e-8,2.6131396219879146e-5,0.0,2.1516242081516388e-5,0.0,3.960649150301416e-15
-4.981998199819982,1.0032207246212775e-6,-1.73640005384208e-14,1.0032207419852778e-6,3.2161734717757986e-8,-5.759442481254256e-15,3.216172346921983e-8,2.780034412445911e-5,0.0,2.1489274753902305e-5,0.0,4.995951742831229e-15
-4.98099809980998,1.1061683737559964e-6,-3.0970791498790555e-14,1.1061684047267878e-6,3.753392956490015e-8,-2.3037769925017022e-14,3.7533942783330205e-8,2.9484181466559245e-5,0.0,2.1460630868993223e-5,0.0,6.2235719257921496e-15
-4.979997999799981,1.2122576523909857e-6,8.639647077855717e-16,1.2122576515270212e-6,4.34218306512563e-8,-2.879721240627128e-14,4.342185692201963e-8,3.1182943732640375e-5,0.0,2.143029551806379e-5,0.0,7.666271354928514e-15
-4.978997899789979,1.3211872892752627e-6,3.7085683640121274e-14,1.3211872521895794e-6,4.98370317345412e-8,-2.3037769925017022e-14,4.983704429313694e-8,3.289666575880717e-5,0.0,2.1398253757222785e-5,0.0,9.34812184626336e-15
-4.977997799779978,1.4326626429095375e-6,4.931138567843562e-15,1.432662637978399e-6,5.678936994251284e-8,-2.3037769925017022e-14,5.678938566380558e-8,3.462538172222289e-5,0.0,2.13644906080686e-5,0.0,1.129450761690138e-14
-4.976997699769978,1.5463982404010696e-6,2.4109462269649088e-14,1.5463982162916078e-6,6.428713887234422e-8,-1.7278327443762767e-14,6.428714227764551e-8,3.63691251325095e-5,0.0,2.1328991058351975e-5,0.0,1.3532127887801668e-14
-4.975997599759976,1.6621194674224574e-6,-2.5255128567918372e-14,1.6621194926775862e-6,7.2337048274526e-8,-2.3037769925017022e-14,7.233704769638843e-8,3.812792882312156e-5,0.0,2.129174006264796e-5,0.0,1.608900005682804e-14
-4.974997499749975,1.7795649603668049e-6,-2.122849132371038e-14,1.7795649815952958e-6,8.094440835502589e-8,-2.3037769925017022e-14,8.094441164793304e-8,3.9901824942648436e-5,0.0,2.1252722543036808e-5,0.0,1.8994463637545555e-14
-4.973997399739974,1.8984878581256873e-6,-3.096628743690156e-14,1.8984878890919741e-6,9.011322192636838e-8,-2.3037769925017022e-14,9.01132340655839e-8,4.169084494611396e-5,0.0,2.121192338979297e-5,0.0,2.2279185142639073e-14
-4.972997299729974,2.018657531395795e-6,-2.4561502021099772e-14,2.018657555957297e-6,9.984631111536927e-8,-1.7278327443762767e-14,9.984632737213307e-8,4.349501958623354e-5,0.0,2.1169327462083074e-5,0.0,2.5975164076605137e-14
-4.971997199719972,2.1398606735839115e-6,2.0231459279702942e-14,2.139860653352452e-6,1.101454152736579e-7,-2.879721240627128e-14,1.1014544506135131e-7,4.531437890462561e-5,0.0,2.112491958867293e-5,0.0,3.011574016643077e-14
-4.970997099709971,2.2619021307195865e-6,4.102389954952701e-15,2.2619021266171963e-6,1.2101140983649144e-7,-2.3037769925017022e-14,1.210114145984577e-7,4.714895222299787e-5,0.0,2.1078684568643004e-5,0.0,3.47356019459807e-14
-4.969996999699971,2.384605884939427e-6,-1.0502644183197673e-15,2.384605885989691e-6,1.3244426600665744e-7,-2.3037769925017022e-14,1.3244427265461655e-7,4.899876813429609e-5,0.0,2.1030607172112847e-5,0.0,3.9870796783705276e-14
-4.968996899689969,2.507815216721514e-6,-3.0655506716073215e-14,2.5078152473770206e-6,1.4444340208046534e-7,0.0,1.4444340071765768e-7,5.086385449383365e-5,0.0,2.098067214097401e-5,0.0,4.555874241215139e-14
-4.967996799679968,2.631393134767704e-6,4.327593376315199e-15,2.6313931304401105e-6,1.5700763737220648e-7,0.0,1.5700765923763595e-7,5.274423841035141e-5,0.0,2.0928864189632832e-5,0.0,5.1838239998573655e-14
-4.966996699669966,2.7552220275832036e-6,4.696926992459355e-15,2.755222022886277e-6,1.7013552050237555e-7,5.759442481254256e-15,1.7013551853408774e-7,5.4639946237085814e-5,0.0,2.0875168005761134e-5,0.0,5.874948878033006e-14
-4.965996599659967,2.8792037356737457e-6,1.1317907696250344e-14,2.879203724355838e-6,1.8382517965216614e-7,-1.1518884962508511e-14,1.8382518479530218e-7,5.6551003562775164e-5,0.0,2.0819568251056532e-5,0.0,6.633410224163732e-14
-4.964996499649965,3.0032589024537262e-6,1.678584686220193e-14,3.0032588856678795e-6,1.98074708446117e-7,-1.1518884962508511e-14,1.980747197223918e-7,5.847743520265788e-5,0.0,2.0762049562011114e-5,0.0,7.463512581348244e-14
-4.963996399639964,3.127326394079547e-6,3.4369730311896613e-14,3.1273263597098167e-6,2.12882142914342e-7,0.0,2.1288215249215836e-7,6.041926518940433e-5,0.0,2.070259655069007e-5,0.0,8.369705604674612e-14
-4.962996299629962,3.2513624154280265e-6,3.163576072652164e-14,3.251362383792266e-6,2.2824557668137984e-7,1.1518884962508511e-14,2.2824558283173763e-7,6.23765167640501e-5,0.0,2.064119380551844e-5,0.0,9.356586118922726e-14
-4.961996199619962,3.375339614733307e-6,-5.142802780369776e-16,3.3753396152475864e-6,2.4416327039560117e-7,-5.759442481254256e-15,2.4416327422176387e-7,6.434921236687684e-5,0.0,2.0577825892077773e-5,0.0,1.0428900307907509e-13
-4.960996099609961,3.4992460685138794e-6,2.630294361082394e-14,3.4992460422109364e-6,2.606337496397308e-7,-1.1518884962508511e-14,2.606337365076664e-7,6.633737362828402e-5,0.0,2.05124773539109e-5,0.0,1.1591546024712514e-13
-4.959995999599959,3.623083763065327e-6,-2.890342408110622e-14,3.6230837919687506e-6,2.7765577613363527e-7,-5.759442481254256e-15,2.776557973736763e-7,6.834102135958985e-5,0.0,2.0445132713337375e-5,0.0,1.2849575212990395e-13
-4.958995899589959,3.74686785939576e-6,-6.584104756371975e-16,3.7468678600541703e-6,2.952286414658894e-7,-2.879721240627128e-14,2.9522866228919864e-7,7.036017554384393e-5,0.0,2.0375776472276664e-5,0.0,1.420819642806731e-13
-4.957995799579958,3.870624761628235e-6,-2.1435678500267137e-14,3.870624783063914e-6,3.133519482349619e-7,-5.759442481254256e-15,3.133519627847316e-7,7.239485532659206e-5,0.0,2.0304393113080832e-5,0.0,1.5672777443604574e-13
-4.956995699569957,3.994391298317887e-6,2.1298923492070423e-14,3.994391277018963e-6,3.3202578859193263e-7,-1.7278327443762767e-14,3.3202579313719004e-7,7.444507900660375e-5,0.0,2.0230967099377524e-5,0.0,1.7248847930245584e-13
-4.955995599559955,4.1182128844987605e-6,2.247898943889224e-14,4.118212862019772e-6,3.512507269621646e-7,1.1518884962508511e-14,3.5125073567494994e-7,7.651086402657878e-5,0.0,2.015548287692099e-5,0.0,1.8942102195458993e-13
-4.954995499549955,4.242142499830151e-6,5.678813905767431e-15,4.242142494151337e-6,3.7102786915861423e-7,-1.7278327443762767e-14,3.710278750640999e-7,7.859222696382203e-5,0.0,2.007792487445318e-5,0.0,2.075840197007512e-13
-4.953995399539954,4.36623921001869e-6,-1.4382307226471552e-14,4.366239224400997e-6,3.91358775990194e-7,-5.759442481254256e-15,3.913588021780135e-7,8.068918352090415e-5,0.0,1.9998277504573114e-5,0.0,2.270377922736635e-13
-4.952995299529952,4.490566916558818e-6,1.61913097967799e-14,4.490566900367508e-6,4.1224558421006446e-7,-1.7278327443762767e-14,4.122456082656769e-7,8.280174851625867e-5,0.0,1.9916525164617607e-5,0.0,2.4784439023950323e-13
-4.951995199519953,4.615192904202237e-6,-2.1309564594624685e-14,4.615192925511801e-6,4.3369083949180225e-7,-2.3037769925017022e-14,4.3369087024604173e-7,8.492993587478006e-5,0.0,1.983265223754944e-5,0.0,2.7006762350239977e-13
-4.950995099509951,4.740187099505879e-6,1.0277467842585562e-14,4.740187089228412e-6,4.556976058588075e-7,-2.879721240627128e-14,4.5569762805489886e-7,8.70737586184031e-5,0.0,1.9746643092855678e-5,0.0,2.9377308978695586e-13
-4.94999499949995,4.865620473144859e-6,-5.5588370303263746e-15,4.865620478703696e-6,4.782693332171264e-7,-2.879721240627128e-14,4.782693550610993e-7,8.923322885661171e-5,0.0,1.9658482087455785e-5,0.0,3.190282029984885e-13
-4.948994899489949,4.991564506093136e-6,2.5420146158325727e-14,4.99156448067299e-6,5.014099207093188e-7,-5.759442481254256e-15,5.014099225987817e-7,9.140835777696237e-5,0.0,1.956815356661883e-5,0.0,3.459022213703055e-13
-4.9479947994799485,5.118089883040421e-6,3.49884473235882e-15,5.1180898795415755e-6,5.251235612095109e-7,-5.759442481254256e-15,5.251235597657964e-7,9.359915563556514e-5,0.0,1.9475641864889834e-5,0.0,3.7446627531000506e-13
-4.946994699469947,5.245266061990413e-6,5.5301796264895496e-15,5.245266056460233e-6,5.494147816394933e-7,-1.1518884962508511e-14,5.49414809605098e-7,9.580563174754034e-5,0.0,1.9380931307026686e-5,0.0,4.0479339487799857e-13
-4.945994599459946,5.373160268160394e-6,-2.3453501218550207e-14,5.373160291613896e-6,5.742884660064898e-7,-1.7278327443762767e-14,5.742884827947238e-7,9.802779447743865e-5,0.0,1.9284006208945803e-5,0.0,4.36958536835691e-13
