t,vx,vxintra,vxinter,vy,vyintra,vyinter,fx,fy,ax,ay,cbocc
-5.0,-2.8700740964036115e-14,-2.8700740964036115e-14,0.0,-1.7278327443762767e-14,-1.7278327443762767e-14,0.0,-5.241507371327101e-19,-0.0,2.173243687194152e-5,0.0,0.0
-4.9989998999899985,3.324773645309238e-9,-2.225826279986262e-15,3.324775871135519e-9,5.799758578623036e-12,-2.3037769925017022e-14,5.805316538361035e-12,1.4218463346722371e-6,0.0,2.1731727058792185e-5,0.0,4.376257403353277e-20
-4.997999799979999,1.3317759437817806e-8,-3.417318420010106e-14,1.3317793611002006e-8,4.6449903611315573e-11,-1.7278327443762767e-14,4.646955928173028e-11,2.8578874548557466e-6,0.0,2.1729588162800535e-5,0.0,7.043060808054898e-19
-4.996999699969997,2.9982122011739323e-8,-1.5044405251023028e-14,2.998213705614457e-8,1.5681809987959088e-10,-2.3037769925017022e-14,1.5683062729961903e-10,4.3081686282627266e-6,0.0,2.1726005965083033e-5,0.0,3.585767488512288e-18
-4.995999599959996,5.3287963643329264e-8,-2.306899513398284e-15,5.32879659502288e-8,3.7151283725330576e-10,-5.759442481254256e-15,3.7151251340627724e-10,5.7727346121635904e-6,0.0,2.1720966201738618e-5,0.0,1.1394895829603346e-17
-4.994999499949994,8.317324005153961e-8,1.7168692710639654e-14,8.31732228828469e-8,7.24687609646298e-10,-1.7278327443762767e-14,7.247195187551159e-10,7.2516296454747594e-6,0.0,2.1714454564362943e-5,0.0,2.7966756144839196e-17
-4.9939993999399945,1.1954463455943583e-7,-2.6637877588527562e-14,1.195446611973134e-7,1.2500121178039799e-9,-1.1518884962508511e-14,1.25003732099065e-9,8.7448974407926e-6,0.0,2.1706456700571e-5,0.0,5.8287853680909e-17
-4.992999299929993,1.62279181725595e-7,2.8547629949697718e-15,1.62279178870832e-7,1.9802460705597255e-9,-1.1518884962508511e-14,1.980243145663688e-9,1.0252581176403704e-5,0.0,2.169695821452698e-5,0.0,1.0851669290756472e-16
-4.9919991999199915,2.1122540834054527e-7,-2.986279064007598e-14,2.112254382033359e-7,2.947118236542765e-9,-5.759442481254256e-15,2.9471271527302414e-9,1.1774723488226508e-5,0.0,2.1685944667483313e-5,0.0,1.860018104822565e-16
-4.990999099909991,2.6620575837958666e-7,1.0169370249689663e-14,2.662057482102164e-7,4.181314925293221e-9,-2.879721240627128e-14,4.1813269885585796e-9,1.3311366461745545e-5,0.0,2.167340157832676e-5,0.0,2.9929736479490517e-16
-4.98999899989999,3.270181689987779e-7,-1.3994957290669796e-14,3.270181829937352e-7,5.712168977368121e-9,0.0,5.712177239057411e-9,1.4862551623893527e-5,0.0,2.165931442413296e-5,0.0,4.581763790520877e-16
-4.988998899889989,3.9343888246872403e-7,-2.3367923854125858e-14,3.9343890583664796e-7,7.567567613261699e-9,-3.4556654887525534e-14,7.567575241751934e-9,1.6428319934888694e-5,0.0,2.164366864072924e-5,0.0,6.736417759665932e-16
