M,zeta,dt,dkx,returncode
0.11601553017399716,0.1,0.00078125,0.00023561944901923454,1
0.13459603241553642,0.1,0.00078125,0.00023561944901923454,1
0.15615230060004973,0.1,0.00078125,0.00023561944901923454,1
0.18116091942004142,0.1,0.00078125,0.00047123889803846907,1
0.1,0.1,0.00078125,0.00047123889803846907,1
0.21017480113324882,0.1,0.00078125,0.00047123889803846907,1
0.2438354098268829,0.1,0.00078125,0.00047123889803846907,1
0.28288694346259696,0.1,0.00078125,0.00047123889803846907,1
0.3281927872511474,0.1,0.00078125,0.00047123889803846907,1
0.3807546021222372,0.1,0.00078125,0.00047123889803846907,1
0.4417344703140069,0.1,0.00078125,0.00047123889803846907,1
0.5124805876960934,0.1,0.00078125,0.0009424777960769381,1
0.5945570708544391,0.1,0.00078125,0.00047123889803846907,1
0.6897785379387658,0.1,4.8828125e-5,0.0009424777960769381,1
0.8002502278161051,0.1,4.8828125e-5,0.0009424777960769381,1
0.9284145445194745,0.1,4.8828125e-5,0.0009424777960769381,1
1.0771050560367692,0.1,4.8828125e-5,0.0009424777960769381,1
1.2496091412919867,0.1,4.8828125e-5,0.0009424777960769381,1
1.4497406703726323,0.1,0.00078125,0.0009424777960769381,1
1.6819243248808697,0.1,0.00078125,0.0009424777960769381,1
1.9512934226359633,0.1,0.00078125,0.0009424777960769381,1
10.0,0.1,0.00078125,0.0018849555921538763,1
2.2638034095214477,0.1,0.00078125,0.0018849555921538763,1
2.6263635276533326,0.1,0.00078125,0.0018849555921538763,1
3.046989570903508,0.1,0.00078125,0.0018849555921538763,1
3.5349811050301057,0.1,0.00078125,0.0018849555921538763,4
4.1011270705513,0.1,,,4
4.7579443140094115,0.1,,,4
5.5199543212815705,0.1,,,4
6.404004271197279,0.1,,,4
7.429639507594946,0.1,,,4
8.619535664753032,0.1,,,4
0.11601553017399716,0.11601553017399716,0.00078125,0.00027335515297271585,1
0.13459603241553642,0.11601553017399716,0.00078125,0.00027335515297271585,1
0.15615230060004973,0.11601553017399716,0.00078125,0.00027335515297271585,1
0.18116091942004142,0.11601553017399716,0.00078125,0.00027335515297271585,1
0.1,0.11601553017399716,0.00078125,0.0005467103059454317,1
0.21017480113324882,0.11601553017399716,0.00078125,0.0005467103059454317,1
0.2438354098268829,0.11601553017399716,0.00078125,0.0005467103059454317,1
0.28288694346259696,0.11601553017399716,0.00078125,0.0005467103059454317,1
0.3281927872511474,0.11601553017399716,0.00078125,0.0005467103059454317,1
0.3807546021222372,0.11601553017399716,0.00078125,0.0005467103059454317,1
0.4417344703140069,0.11601553017399716,0.00078125,0.0005467103059454317,1
0.5124805876960934,0.11601553017399716,0.00078125,0.0005467103059454317,1
0.5945570708544391,0.11601553017399716,0.00078125,0.0005467103059454317,1
0.6897785379387658,0.11601553017399716,4.8828125e-5,0.0010934206118908634,1
0.8002502278161051,0.11601553017399716,4.8828125e-5,0.0010934206118908634,1
0.9284145445194745,0.11601553017399716,4.8828125e-5,0.0010934206118908634,1
1.0771050560367692,0.11601553017399716,4.8828125e-5,0.0010934206118908634,1
1.2496091412919867,0.11601553017399716,4.8828125e-5,0.0010934206118908634,1
1.4497406703726323,0.11601553017399716,0.00078125,0.0005467103059454317,1
1.6819243248808697,0.11601553017399716,0.00078125,0.0010934206118908634,1
1.9512934226359633,0.11601553017399716,0.00078125,0.0010934206118908634,1
10.0,0.11601553017399716,0.00078125,0.002186841223781727,1
2.2638034095214477,0.11601553017399716,0.00078125,0.0010934206118908634,1
2.6263635276533326,0.11601553017399716,0.00078125,0.002186841223781727,1
