M,zeta,dt,dkx
0.5124805876960934,1.6819243248808697,4.8828125e-5,0.0004953676034005981
0.5945570708544391,1.6819243248808697,,
0.9284145445194745,1.6819243248808697,4.8828125e-5,0.0004953676034005981
1.0771050560367692,1.6819243248808697,,
0.13459603241553642,10.0,4.8828125e-5,0.0029452431127404317
0.15615230060004973,10.0,,
0.21017480113324882,10.0,4.8828125e-5,0.0029452431127404317
0.2438354098268829,10.0,,
0.3807546021222372,10.0,4.8828125e-5,0.0029452431127404317
0.4417344703140069,10.0,,
0.6897785379387658,10.0,4.8828125e-5,0.0029452431127404317
0.8002502278161051,10.0,,
1.2496091412919867,10.0,4.8828125e-5,0.0029452431127404317
1.4497406703726323,10.0,,
1.9512934226359633,2.6263635276533326,4.8828125e-5,0.0007735279091373642
0.21017480113324882,3.046989570903508,,
0.3281927872511474,3.046989570903508,4.8828125e-5,0.0008974125048295478
0.3807546021222372,3.046989570903508,,
0.5945570708544391,3.046989570903508,4.8828125e-5,0.0008974125048295478
0.6897785379387658,3.046989570903508,,
0.13459603241553642,4.1011270705513,4.8828125e-5,0.0012078816259014555
0.15615230060004973,4.1011270705513,,
0.21017480113324882,4.1011270705513,4.8828125e-5,0.0012078816259014555
0.2438354098268829,4.1011270705513,,
0.3807546021222372,4.1011270705513,4.8828125e-5,0.0012078816259014555
0.4417344703140069,4.1011270705513,,
0.6897785379387658,4.1011270705513,4.8828125e-5,0.0012078816259014555
0.8002502278161051,4.1011270705513,,
1.2496091412919867,4.1011270705513,4.8828125e-5,0.0012078816259014555
1.4497406703726323,4.1011270705513,,
0.11601553017399716,6.404004271197279,4.8828125e-5,0.001886134947370409
0.13459603241553642,6.404004271197279,,
0.1,6.404004271197279,4.8828125e-5,0.001886134947370409
0.21017480113324882,6.404004271197279,,
0.3281927872511474,6.404004271197279,4.8828125e-5,0.001886134947370409
0.3807546021222372,6.404004271197279,,
0.5945570708544391,6.404004271197279,4.8828125e-5,0.001886134947370409
0.6897785379387658,6.404004271197279,,
0.11601553017399716,7.429639507594946,4.8828125e-5,0.0021882094589888226
0.13459603241553642,7.429639507594946,,
0.1,7.429639507594946,4.8828125e-5,0.0021882094589888226
0.21017480113324882,7.429639507594946,,
0.3281927872511474,7.429639507594946,4.8828125e-5,0.0021882094589888226
0.3807546021222372,7.429639507594946,,
0.5945570708544391,7.429639507594946,4.8828125e-5,0.0021882094589888226
0.6897785379387658,7.429639507594946,,
