t,vx,vxintra,vxinter,vy,vyintra,vyinter,fx,fy,ax,ay,cbocc
-5.0,-2.8700740964036115e-14,-2.8700740964036115e-14,0.0,-1.7278327443762767e-14,-1.7278327443762767e-14,0.0,-5.241507371327101e-19,-0.0,2.173243687194152e-5,0.0,0.0
-4.9989998999899985,3.3264343263168974e-9,-2.225826279986262e-15,3.326436552143178e-9,5.799758578623036e-12,-2.3037769925017022e-14,5.809669429328673e-12,1.4218463346722371e-6,0.0,2.1731727058792185e-5,0.0,4.3780072260421423e-20
-4.997999799979999,1.3331039646406932e-8,-3.417318420010106e-14,1.3331073819591133e-8,4.653053580605313e-11,-1.7278327443762767e-14,4.653920739631141e-11,2.8578874548557466e-6,0.0,2.1729588162800535e-5,0.0,7.048689377720576e-19
-4.996999699969997,3.0026857591607276e-8,-1.5044405251023028e-14,3.002687263601252e-8,1.571809447559099e-10,-2.3037769925017022e-14,1.5718294375630343e-10,4.3081686282627266e-6,0.0,2.1726005965083033e-5,0.0,3.590062360882096e-18
-4.995999599959996,5.339364344724696e-8,-2.306899513398284e-15,5.3393645754146465e-8,3.726071313247441e-10,-5.759442481254256e-15,3.726242341951152e-10,5.7727346121635904e-6,0.0,2.1720966201738618e-5,0.0,1.1413075485260883e-17
-4.994999499949994,8.337863791082593e-8,1.7168692710639654e-14,8.337862074213322e-8,7.273887881700062e-10,-1.7278327443762767e-14,7.274271850073605e-10,7.2516296454747594e-6,0.0,2.1714454564362943e-5,0.0,2.802246490764446e-17
-4.9939993999399945,1.198973039446861e-7,-2.6637877588527562e-14,1.1989733058256368e-7,1.2556160553382403e-9,-1.1518884962508511e-14,1.255634045581045e-9,8.7448974407926e-6,0.0,2.1706456700571e-5,0.0,5.842699793517079e-17
-4.992999299929993,1.6283482212130185e-7,2.8547629949697718e-15,1.6283481926653884e-7,1.9905439537162082e-9,-1.1518884962508511e-14,1.990570587066509e-9,1.0252581176403704e-5,0.0,2.169695821452698e-5,0.0,1.0881846873324959e-16
-4.9919991999199915,2.1204711445916175e-7,-2.986279064007598e-14,2.120471443219524e-7,2.9646557388981843e-9,-5.759442481254256e-15,2.9646616675613915e-9,1.1774723488226508e-5,0.0,2.1685944667483313e-5,0.0,1.8659198589554005e-16
-4.990999099909991,2.6736316526326554e-7,1.0169370249689663e-14,2.6736315509389523e-7,4.209259740212266e-9,-2.879721240627128e-14,4.209259042315534e-9,1.3311366461745545e-5,0.0,2.167340157832676e-5,0.0,3.0036380057422597e-16
-4.98999899989999,3.2858650770175175e-7,-1.3994957290669796e-14,3.2858652169670904e-7,5.7544720823929335e-9,0.0,5.7544832762542874e-9,1.4862551623893527e-5,0.0,2.165931442413296e-5,0.0,4.599867594205151e-16
-4.988998899889989,3.954979622785476e-7,-2.3367923854125858e-14,3.9549798564647144e-7,7.629066940076532e-9,-3.4556654887525534e-14,7.629081353944127e-9,1.6428319934888694e-5,0.0,2.164366864072924e-5,0.0,6.765635088745233e-16
-4.987998799879987,4.6785780162606405e-7,-7.800202920449922e-16,4.6785780240608446e-7,9.860286476199392e-9,-2.3037769925017022e-14,9.860301419708958e-9,1.800871178004095e-5,0.0,2.1626449623265248e-5,0.0,9.624575982416445e-16
-4.986998699869987,5.454083644916884e-7,2.1258386912141342e-14,5.454083432333014e-7,1.2473777488130542e-8,-2.3037769925017022e-14,1.2473785818344385e-8,1.9603766961519202e-5,0.0,2.1607642726792386e-5,0.0,1.3313026454519407e-15
-4.985998599859986,6.278768413474063e-7,2.0425134237805783e-14,6.278768209222723e-7,1.5493470459379593e-8,-1.7278327443762767e-14,1.5493483314646902e-8,2.1213524690080397e-5,0.0,2.1587233266850868e-5,0.0,1.7980097641475445e-15
-4.9849984998499846,7.14978085846531e-7,-1.7728830085466124e-14,7.149781035753611e-7,1.894158531903922e-8,-1.7278327443762767e-14,1.894158110830247e-8,2.2838023576762484e-5,0.0,2.1565206520065397e-5,0.0,2.378773463020769e-15
-4.983998399839984,8.064175841776839e-7,3.593430225980125e-15,8.064175805842537e-7,2.2838429861298332e-8,-1.1518884962508511e-14,2.2838456955104907e-8,2.4477301624524436e-5,0.0,2.1541547724749225e-5,0.0,3.0910762397401035e-15
-4.982998299829983,9.018940248322464e-7,-1.985475042206691e-14,9.018940446869968e-7,2.7202641642026265e-8,-2.3037769925017022e-14,2.7202651442238827e-8,2.6131396219879146e-5,0.0,2.1516242081516388e-5,0.0,3.9536921033074715e-15
-4.981998199819982,1.0011025368964695e-6,-1.73640005384208e-14,1.0011025542604702e-6,3.205085393110888e-8,-5.759442481254256e-15,3.2050860188040456e-8,2.780034412445911e-5,0.0,2.1489274753902305e-5,0.0,4.986689271399925e-15
-4.98099809980998,1.103737210601893e-6,-3.0970791498790555e-14,1.103737241572684e-6,3.739792033070533e-8,-2.3037769925017022e-14,3.739794548439244e-8,2.9484181466559245e-5,0.0,2.1460630868993223e-5,0.0,6.211432288123362e-15
-4.979997999799981,1.2094940345538183e-6,8.639647077855717e-16,1.2094940336898538e-6,4.3256949331902954e-8,-2.879721240627128e-14,4.3256966626752206e-8,3.1182943732640375e-5,0.0,2.143029551806379e-5,0.0,7.650583808264728e-15
-4.978997899789979,1.3180732922942315e-6,3.710369991414922e-14,1.3180732551905316e-6,4.963921216363756e-8,-2.3037769925017022e-14,4.96392279070128e-8,3.289666575880717e-5,0.0,2.1398253757222785e-5,0.0,9.32810629351642e-15
-4.977997799779978,1.4291820898017202e-6,4.931138567843562e-15,1.4291820848705816e-6,5.655433285429533e-8,-2.3037769925017022e-14,5.655434304619399e-8,3.462538172222289e-5,0.0,2.13644906080686e-5,0.0,1.1269263848024619e-14
-4.976997699769978,1.5425368649296351e-6,2.4109462269649088e-14,1.5425368408201728e-6,6.401029399115529e-8,-1.7278327443762767e-14,6.401031467938847e-8,3.63691251325095e-5,0.0,2.1328991058351975e-5,0.0,1.3500624428026763e-14
-4.975997599759976,1.6578650456895337e-6,-2.5291161115974264e-14,1.6578650709806947e-6,7.201362102254868e-8,-2.3037769925017022e-14,7.20136273071095e-8,3.812792882312156e-5,0.0,2.129174006264796e-5,0.0,1.6050062631400147e-14
-4.974997499749975,1.7749074099878558e-6,-2.1174442501626538e-14,1.7749074311622975e-6,8.056934194176165e-8,-2.3037769925017022e-14,8.056935198480491e-8,3.9901824942648436e-5,0.0,2.1252722543036808e-5,0.0,1.8946763258171562e-14
-4.973997399739974,1.8934193033225611e-6,-3.096628743690156e-14,1.8934193342888484e-6,8.968124646194686e-8,-2.3037769925017022e-14,8.968126093025527e-8,4.169084494611396e-5,0.0,2.121192338979297e-5,0.0,2.2221225819520892e-14
-4.972997299729974,2.01317233535477e-6,-2.4651583391239513e-14,2.0131723600063533e-6,9.935194936999081e-8,-1.7278327443762767e-14,9.935195010283428e-8,4.349501958623354e-5,0.0,2.1169327462083074e-5,0.0,2.5905270156283045e-14
-4.971997199719972,2.1339554374284744e-6,2.0213443005674994e-14,2.1339554172150314e-6,1.0958294812093862e-7,-2.879721240627128e-14,1.0958296781294377e-7,4.531437890462561e-5,0.0,2.112491958867293e-5,0.0,3.003204329237472e-14
-4.970997099709971,2.2555756599178135e-6,4.138422503008596e-15,2.2555756557793914e-6,1.2037495112621548e-7,-2.3037769925017022e-14,1.2037494739375397e-7,4.714895222299787e-5,0.0,2.1078684568643004e-5,0.0,3.463602763571216e-14
-4.969996999699971,2.3778591256088803e-6,-1.0682806923477155e-15,2.377859126677161e-6,1.3172774528644958e-7,-2.3037769925017022e-14,1.3172774196499334e-7,4.899876813429609e-5,0.0,2.1030607172112847e-5,0.0,3.9753050613200907e-14
-4.968996899689969,2.5006511635034387e-6,-3.067352299010116e-14,2.500651194176962e-6,1.436405703552334e-7,0.0,1.436405593499294e-7,5.086385449383365e-5,0.0,2.098067214097401e-5,0.0,4.542029579550313e-14
-4.967996799679968,2.6238167120316822e-6,4.30957710228725e-15,2.623816707722105e-6,1.561120901419113e-7,0.0,1.5611209532772577e-7,5.274423841035141e-5,0.0,2.0928864189632832e-5,0.0,5.1676315547847914e-14
-4.966996699669966,2.7472399475009297e-6,4.714943266487303e-15,2.747239942785986e-6,1.691406632053761e-7,5.759442481254256e-15,1.6914066347440017e-7,5.4639946237085814e-5,0.0,2.0875168005761134e-5,0.0,5.856104522845896e-14
-4.965996599659967,2.870824335790627e-6,1.1426005340418027e-14,2.8708243243646213e-6,1.827243255757417e-7,-1.1518884962508511e-14,1.82724319950688e-7,5.6551003562775164e-5,0.0,2.0819568251056532e-5,0.0,6.611581890875394e-14
-4.964996499649965,2.9944919658450554e-6,1.6749814314146034e-14,2.9944919490952406e-6,1.96860957778175e-7,-1.1518884962508511e-14,1.9686098181984802e-7,5.847743520265788e-5,0.0,2.0762049562011114e-5,0.0,7.438338659489305e-14
