t,vx,vxintra,vxinter,vy,vyintra,vyinter
-20.0,-6.411092094509638e-14,-6.411092094509638e-14,0.0,-1.8829382497642655e-13,-1.8829382497642655e-13,0.0
-19.989997499374844,-1.0518805347046268e-5,1.0351492086527613e-13,-1.0518805448889156e-5,-1.675358765496071e-6,-1.829647544582258e-13,-1.6753589309312062e-6
-19.97999499874969,-5.599149610696921e-6,2.462889330230207e-14,-5.599149658597317e-6,-3.3344502829990574e-6,-2.877698079828406e-13,-3.33445002874198e-6
-19.969992498124533,-5.550314410216164e-7,-9.892800545731336e-15,-5.550314548817085e-7,-3.628170833991362e-6,-2.504663143554353e-13,-3.62817074518142e-6
-19.959989997499378,2.7987464447560463e-6,9.778545666188949e-14,2.7987463555808335e-6,-3.04211247748043e-6,-2.4513724383723456e-13,-3.0421125993047855e-6
-19.94998749687422,7.112682881621722e-6,1.0452370785050274e-13,7.112682804534114e-6,-1.624068434402659e-6,-2.4780177909633494e-13,-1.6240681306234464e-6
-19.939984996249063,1.1626229750915272e-5,-8.273167960610342e-14,1.1626229839972457e-5,6.169930459876127e-7,-1.5898393712632242e-13,6.1699274612419e-7
-19.929982495623907,1.5319142586495518e-5,-8.24307155331631e-14,1.5319142670733246e-5,3.553585420590366e-6,3.730349362740526e-14,3.553585625966378e-6
-19.919979994998748,1.924746395736138e-5,-4.833817415950792e-14,1.9247464006908878e-5,7.06868630384605e-6,-2.788880237858393e-13,7.068686067570479e-6
-19.909977494373592,2.312996514007153e-5,1.197725542128232e-14,2.3129965123890076e-5,1.1147088493146384e-5,-3.304023721284466e-13,1.1147088351893642e-5
-19.899974993748437,2.6470994533847605e-5,-4.064687007324921e-14,2.647099458102801e-5,1.567111926981113e-5,-4.645173135031655e-13,1.5671119142763082e-5
-19.88997249312328,2.9700821091689256e-5,-1.284057643792118e-13,2.9700821207746576e-5,2.0567901746204598e-5,-1.1812772982011666e-13,2.0567901737297802e-5
-19.879969992498125,3.2794747746684285e-5,-1.6045843814738082e-13,3.2794747942744473e-5,2.5777020385753247e-5,-3.943512183468556e-13,2.5777020093053212e-5
