t,vx,vxintra,vxinter,vy,vyintra,vyinter
-20.0,-8.810690968231387e-14,-8.810690968231387e-14,0.0,-1.580957587066223e-13,-1.580957587066223e-13,0.0
-19.989997499374844,-1.0518821586906013e-5,9.210955585004144e-14,-1.0518821660654593e-5,-1.6753602087860031e-6,-1.1013412404281553e-13,-1.6753602755222967e-6
-19.97999499874969,-5.5991410858061816e-6,3.05116555802683e-14,-5.599141101730218e-6,-3.334452150838274e-6,-9.947598300641403e-14,-3.334452336009576e-6
-19.969992498124533,-5.550022791393861e-7,3.671527020032298e-14,-5.550023197333604e-7,-3.6281693009954097e-6,-3.019806626980426e-13,-3.6281691397100764e-6
-19.959989997499378,2.7987172339104297e-6,4.7549683488880015e-14,2.7987171837419007e-6,-3.042111756279553e-6,-2.1405099914773018e-13,-3.0421114270965674e-6
-19.94998749687422,7.112682648788521e-6,1.1297493155407134e-13,7.112682554226495e-6,-1.624070065986416e-6,-5.3290705182007514e-14,-1.6240697651264503e-6
-19.939984996249063,1.162627349672182e-5,-8.612019479614278e-14,1.162627358859639e-5,6.169954236412423e-7,-2.2648549702353193e-13,6.169954524814552e-7
-19.929982495623907,1.5319113862150682e-5,-4.8284962772732833e-14,1.5319113907278307e-5,3.5535889022497713e-6,7.638334409421077e-14,3.5535891831391404e-6
-19.919979994998748,1.9247452564434266e-5,-7.652747831144269e-14,1.9247452647447896e-5,7.068686026734383e-6,-2.007283228522283e-13,7.06868586585215e-6
-19.909977494373592,2.313001549938429e-5,2.967411891256869e-14,2.3130015445263585e-5,1.114709205296549e-5,-1.1457501614131615e-13,1.1147091787213005e-5
-19.899974993748437,2.647097407467687e-5,-3.310217597106055e-14,2.6470974089904006e-5,1.5671124930172198e-5,8.348877145181177e-14,1.5671125057296624e-5
-19.88997249312328,2.970079847253851e-5,-1.0028527715857474e-13,2.970079857543234e-5,2.0567903259660625e-5,8.43769498715119e-14,2.056790324726581e-5
-19.879969992498125,3.279479855415916e-5,-8.862793540001083e-14,3.279479865710782e-5,2.5777024067252796e-5,2.2026824808563106e-13,2.577702430742075e-5
-19.86996749187297,3.542960236853621e-5,1.1939766913951239e-14,3.542960233573819e-5,3.1234391809853435e-5,-6.572520305780927e-14,3.1234391756137255e-5
-19.859964991247814,3.78071129720098e-5,-9.037118032464148e-14,3.780711306285619e-5,3.6852236544149264e-5,-1.0658141036401503e-14,3.685223656156651e-5
-19.84996249062266,3.999363440496162e-5,1.3395717283964054e-14,3.999363438156311e-5,4.259204229839497e-5,2.4868995751603507e-14,4.2592042417117116e-5
-19.839959989997496,4.176672233128794e-5,-3.538592421031146e-14,4.1766722356623864e-5,4.838664353545852e-5,-9.14823772291129e-14,4.838664382753944e-5
-19.82995748937234,4.3228437837072106e-5,-7.609897117913183e-14,4.322843791969496e-5,5.417587972722515e-5,1.3145040611561853e-13,5.4175879888537494e-5
-19.819954988747185,4.446656151307318e-5,-9.041500491771897e-14,4.446656161163699e-5,5.991320088583052e-5,5.861977570020827e-14,5.9913200820944096e-5
-19.80995248812203,4.53353273619413e-5,3.168031139566329e-14,4.5335327329852756e-5,6.555206112324186e-5,5.950795411990839e-14,6.555206081283677e-5
-19.799949987496873,4.5883563001923796e-5,1.4328694176587666e-13,4.588356283738015e-5,7.103948569398e-5,-3.4638958368304884e-14,7.103948577008859e-5
-19.789947486871718,4.619460490566296e-5,6.319506321747928e-14,4.619460482377487e-5,7.633619133606828e-5,-5.1514348342607263e-14,7.633619109465796e-5
-19.779944986246562,4.6184657783122096e-5,-3.754306806956103e-14,4.6184657813906906e-5,8.140692054148246e-5,-6.394884621840902e-14,8.140692052696784e-5
-19.769942485621407,4.586444804301958e-5,6.107200515284551e-14,4.586444798646281e-5,8.620688398419674e-5,3.6415315207705135e-14,8.620688403322189e-5
-19.75993998499625,4.5314057975925235e-5,-3.496228647723079e-14,4.531405801675902e-5,9.070728634075209e-5,9.681144774731365e-14,9.070728602437822e-5
-19.74993748437109,4.44858056851868e-5,1.603590554691039e-13,4.448580553603879e-5,9.487678270581057e-5,2.8688162956314045e-13,9.487678248928481e-5
-19.73993498374594,4.337367003016398e-5,-5.6007829952800646e-14,4.337367008869056e-5,9.868578005445272e-5,-3.907985046680551e-14,9.868577953569624e-5
-19.72993248312078,4.2047738850343706e-5,-9.668192172777366e-14,4.2047738962514497e-5,0.00010210665117327267,-1.199040866595169e-13,0.00010210665119746986
-19.71992998249562,4.0483579954957354e-5,5.701092619434792e-14,4.048357990829385e-5,0.000105120683629778,-6.927791673660977e-14,0.00010512068349662904
-19.709927481870466,3.867146484429352e-5,1.0293909973936732e-14,3.8671464831698024e-5,0.00010770261545278714,-1.4033219031261979e-13,0.00010770261566582475
-19.69992498124531,3.666453053894716e-5,-7.883070414761672e-14,3.666453063745259e-5,0.00010983487802462832,-2.220446049250313e-14,0.00010983487823855464
-19.689922480620154,3.44599493271669e-5,1.4647639826205818e-13,3.445994919714309e-5,0.00011150251230329644,2.3092638912203256e-14,0.00011150251213558165
-19.679919979995,3.204300348948759e-5,5.1810407815840584e-14,3.204300341632509e-5,0.00011269019370629962,-1.127986593019159e-13,0.00011269019335553579
-19.669917479369843,2.9456618462399065e-5,1.191493297787409e-13,2.945661835300699e-5,0.00011338505982738667,-1.270095140171179e-13,0.00011338505971522423
-19.659914978744688,2.6709020983209332e-5,1.0626976881324331e-13,2.67090208882105e-5,0.00011357890342900134,-2.673417043297377e-13,0.00011357890359696628
-19.649912478119532,2.3786494745148667e-5,-1.3153221202269627e-13,2.3786494884449507e-5,0.00011326325383365088,2.0694557179012918e-13,0.00011326325360288898
-19.639909977494373,2.0722747335800763e-5,1.598575073483301e-13,2.0722747169380202e-5,0.0001124308576496702,8.43769498715119e-14,0.00011243085762262996
-19.62990747686922,1.7531944408903408e-5,-1.2613691767495646e-13,1.753194453099636e-5,0.00011107978170343813,1.3855583347321954e-13,0.00011107978168406756
-19.61990497624406,1.4205277120263965e-5,2.0368696982486777e-14,1.4205277113937801e-5,0.00010920707340744684,2.327027459614328e-13,0.00010920707352468638
-19.609902475618902,1.0766869490521767e-5,1.0040214274011449e-13,1.0766869400136762e-5,0.00010681240854282237,1.2079226507921703e-13,0.00010681240847776735
-19.599899974993747,7.23653602299708e-6,7.076697902139216e-14,7.2365359357907295e-6,0.00010389803710353362,2.255973186038318e-13,0.00010389803716879414
-19.58989747436859,3.608934959073107e-6,1.2216348790261398e-13,3.608934828549818e-6,0.00010046836058474895,1.5631940186722204e-13,0.00010046836071731687
-19.579894973743436,-9.717934240454391e-8,5.163997884276246e-14,-9.717940002854403e-8,9.652761761014261e-5,4.3520742565306136e-14,9.652761754644096e-5
-19.56989247311828,-3.8597359424315665e-6,-4.917606283197136e-14,-3.8597358951765614e-6,9.20845635796752e-5,2.255973186038318e-13,9.208456335265289e-5
-19.559889972493124,-7.679546405997161e-6,1.0260798059167231e-13,-7.679546521307724e-6,8.714846526647335e-5,-7.993605777301127e-14,8.714846528474461e-5
-19.54988747186797,-1.1541283719205929e-5,3.403710062337733e-15,-1.1541283726373664e-5,8.173026647106951e-5,-2.993161274389422e-13,8.17302670003196e-5
-19.539884971242813,-1.5422411746510015e-5,4.728186653118815e-15,-1.542241175980293e-5,7.584337039912015e-5,1.2434497875801753e-13,7.584337055617228e-5
-19.529882470617657,-1.931857116905077e-5,1.0010997878626592e-13,-1.931857125929174e-5,6.950340341127514e-5,-2.362554596402333e-13,6.950340340710308e-5
-19.519879969992495,-2.3217091413373305e-5,-1.2630734664803477e-13,-2.3217091286944866e-5,6.272671708806854e-5,1.2789769243681803e-13,6.272671722130244e-5
-19.50987746936734,-2.7095078385658977e-5,6.252308612362725e-14,-2.709507845384838e-5,5.553236140709572e-5,-3.3306690738754696e-13,5.5532361341472256e-5
-19.499874968742184,-3.094408065110233e-5,1.3692750637043431e-14,-3.094408068123029e-5,4.794157140164401e-5,-1.4832579608992091e-13,4.794157101456637e-5
-19.489872468117028,-3.475254839714488e-5,3.041426759565253e-14,-3.475254841679777e-5,3.997632647489979e-5,-1.3500311979441904e-13,3.997632659556334e-5
-19.479869967491872,-3.8497936127069506e-5,9.622419820007762e-14,-3.849793620733247e-5,3.166128736697971e-5,7.016609515630989e-14,3.16612879131784e-5
-19.469867466866717,-4.21686044416997e-5,5.606139334433963e-14,-4.21686044947244e-5,2.30227978104125e-5,1.0835776720341528e-13,2.302279794096559e-5
-19.45986496624156,-4.57530717070976e-5,-1.4900361646285435e-15,-4.575307170913336e-5,1.4088771705722536e-5,3.197442310920451e-14,1.408877172138369e-5
-19.449862465616405,-4.9230017410938666e-5,1.0273945437090442e-13,-4.923001750887529e-5,4.888557842086527e-6,-6.217248937900877e-14,4.888557958329808e-6
-19.439859964991246,-5.258518249079806e-5,-5.989361053898941e-15,-5.25851824826338e-5,-4.545919825460487e-6,-1.1723955140041653e-13,-4.545919988110217e-6
-19.429857464366094,-5.580713512132817e-5,-5.019376727121125e-14,-5.5807135066689166e-5,-1.418212817139164e-5,3.108624468950438e-14,-1.4182127825755342e-5
-19.41985496374094,-5.8876049729715615e-5,-9.748537260085806e-14,-5.887604963172948e-5,-2.3985548871507945e-5,1.1368683772161603e-13,-2.3985548872416828e-5
-19.409852463115776,-6.17761320805548e-5,-3.9646648537272246e-14,-6.177613204481052e-5,-3.3920119921759806e-5,2.824407374646398e-13,-3.392011996142119e-5
-19.39984996249062,-6.449618019269272e-5,3.7236295918020154e-14,-6.449618022969685e-5,-4.394855372691353e-5,-6.128431095930864e-14,-4.3948553842830674e-5
-19.389847461865468,-6.701805809466465e-5,1.7846835120849386e-13,-6.701805825171462e-5,-5.403252633584543e-5,-2.007283228522283e-13,-5.4032525900403893e-5
-19.37984496124031,-6.932587326708171e-5,-4.7759067655805094e-14,-6.9325873229422e-5,-6.413210150846282e-5,-1.8207657603852567e-13,-6.413210164388187e-5
-19.369842460615153,-7.140866704562919e-5,1.1666106677179602e-13,-7.14086671812498e-5,-7.420654969969576e-5,1.0302869668521453e-13,-7.420654943637742e-5
-19.359839959989998,-7.325075407006205e-5,-4.244655309498894e-14,-7.325075404225605e-5,-8.421444350581453e-5,7.993605777301127e-14,-8.421444346307971e-5
-19.349837459364842,-7.483702790292464e-5,-5.896842468513429e-15,-7.483702791577347e-5,-9.411314387008929e-5,-7.105427357601002e-14,-9.411314410053063e-5
-19.339834958739686,-7.615746817357271e-5,3.740672489109837e-14,-7.615746822484894e-5,-0.0001038596685685178,-2.6290081223123707e-13,-0.00010385966891748757
-19.32983245811453,-7.719928712920006e-5,-6.179754563823649e-14,-7.719928706869552e-5,-0.00011341057204017346,-1.199040866595169e-13,-0.00011341057158224784
-19.319829957489375,-7.794915240145415e-5,-5.649963927511282e-14,-7.794915235324354e-5,-0.00012272202984497937,2.398081733190338e-14,-0.00012272202982447933
-19.309827456864216,-7.839881693892106e-5,1.1694349192718307e-13,-7.839881705406827e-5,-0.00013174993049780426,-8.881784197001252e-14,-0.00013174993046882286
-19.299824956239057,-7.853866646117608e-5,7.47404087937347e-14,-7.853866651221235e-5,-0.00014045057539746608,-2.1582735598713043e-13,-0.00014045057510756197
-19.2898224556139,-7.835831614064303e-5,-2.8393466914865636e-14,-7.835831612354197e-5,-0.00014878012768804183,-3.4638958368304884e-14,-0.00014878012777753331
-19.279819954988746,-7.785181536834216e-5,1.2368274046261347e-15,-7.785181536158879e-5,-0.00015669528190365156,-4.618527782440651e-14,-0.0001566952819751833
-19.26981745436359,-7.701334131020922e-5,-3.528366682646444e-14,-7.701334125430516e-5,-0.00016415339030739773,-2.540190280342358e-13,-0.00016415339040325237
-19.259814953738434,-7.583615334050864e-5,5.2102571769689273e-14,-7.583615339413832e-5,-0.0001711125686592041,2.398081733190338e-14,-0.00017111256884425345
-19.24981245311328,-7.431735285943484e-5,5.642659828665042e-14,-7.431735293509878e-5,-0.00017753179147561582,-1.5987211554602254e-14,-0.0001775317912286447
-19.239809952488123,-7.245530291732823e-5,-1.0766241699325535e-13,-7.245530282704103e-5,-0.0001833714221390892,1.1546319456101628e-13,-0.00018337142226700672
-19.229807451862968,-7.024749419322133e-5,-5.186884060661048e-14,-7.02474941178157e-5,-0.00018859312991903465,-2.4780177909633494e-13,-0.0001885931302905964
-19.219804951237812,-6.769477461014237e-5,-2.1571438592497718e-14,-6.769477458381967e-5,-0.00019316007877012709,5.684341886080802e-14,-0.00019316007877125192
-19.209802450612653,-6.479989035925064e-5,1.5397040367827777e-14,-6.479989037035051e-5,-0.00019703737737053473,-1.3589129821411916e-13,-0.00019703737766587647
-19.199799949987494,-6.156510965782207e-5,-4.486177511347167e-14,-6.156510962000021e-5,-0.0002001920470551255,-8.881784197001252e-14,-0.0002001920470643136
-19.18979744936234,-5.799541049650791e-5,-3.979759991342711e-14,-5.799541044578149e-5,-0.00020259325142468754,2.708944180085382e-13,-0.00020259325128094905
-19.179794948737182,-5.4098157089083945e-5,-1.939481713632456e-14,-5.409815708410254e-5,-0.0002042125454186916,2.753353101070388e-13,-0.00020421254556339427
