duration,nchunk
1124.299656091,100
693.976197051,136
520.00460859,185
389.743074871,251
269.619192592,341
202.190046801,464
152.750782833,631
118.3367237,858
91.621131899,1166
77.509787134,1585
61.147722889,2154
58.604126956,2929
55.014071892,3981
51.23146207,5412
47.183616897,7356
47.776027182,10000
